region,prid,prname,date,icu_unvac,icu_part_vac,icu_full_vac,nonicu_unvac,nonicu_part_vac,nonicu_full_vac
atlantic,10,Newfoundland and Labrador,2022-01-28,89,7,8,149,19,30
central,24,Quebec,2022-01-28,94,7,13,129,13,28
central,35,Ontario,2022-01-28,106,7,12,153,16,33
prairie,47,Saskatchewan,2022-01-28,90,8,14,143,12,28
north,61,Northwest Territories,2022-01-28,89,9,10,138,14,31
north,62,Nunavut,2022-01-28,89,8,9,141,16,27
none,99,Repatriated travellers,2022-01-28,93,7,12,136,14,25
atlantic,10,Newfoundland and Labrador,2022-01-30,105,11,7,129,9,42
atlantic,13,New Brunswick,2022-01-30,95,9,6,105,6,41
prairie,46,Manitoba,2022-01-30,94,8,7,115,10,28
prairie,47,Saskatchewan,2022-01-30,93,10,8,125,10,32
north,62,Nunavut,2022-01-30,110,11,11,120,10,38
central,24,Quebec,2022-01-31,79,5,21,99,8,36
central,35,Ontario,2022-01-31,77,3,18,100,9,32
prairie,46,Manitoba,2022-01-31,82,7,16,97,10,39
none,99,Repatriated travellers,2022-01-31,77,5,22,92,8,36
atlantic,11,Prince Edward Island,2022-02-01,79,4,26,106,11,37
north,60,Yukon,2022-02-01,79,6,22,116,11,31
atlantic,10,Newfoundland and Labrador,2022-02-02,56,3,16,81,14,55
atlantic,12,Nova Scotia,2022-02-02,52,2,15,77,10,59
atlantic,13,New Brunswick,2022-02-02,51,3,15,74,12,52
central,24,Quebec,2022-02-02,62,5,16,87,17,78
central,35,Ontario,2022-02-02,66,3,15,81,16,74
west,59,British Columbia,2022-02-02,54,3,20,82,9,72
none,99,Repatriated travellers,2022-02-02,62,3,18,102,18,81
central,35,Ontario,2022-02-03,60,3,11,83,8,48
prairie,46,Manitoba,2022-02-03,62,3,10,89,9,47
prairie,47,Saskatchewan,2022-02-03,62,2,10,99,6,45
prairie,48,Alberta,2022-02-03,65,3,14,104,5,59
west,59,British Columbia,2022-02-03,60,2,17,98,10,67
atlantic,10,Newfoundland and Labrador,2022-02-05,78,4,30,121,11,85
atlantic,12,Nova Scotia,2022-02-05,76,5,33,118,9,85
atlantic,13,New Brunswick,2022-02-05,74,7,25,131,7,73
central,24,Quebec,2022-02-05,86,5,32,123,12,144
central,35,Ontario,2022-02-05,84,3,39,141,13,113
prairie,46,Manitoba,2022-02-05,88,4,37,142,11,118
prairie,47,Saskatchewan,2022-02-05,83,6,26,129,9,102
prairie,48,Alberta,2022-02-05,76,1,31,115,10,94
west,59,British Columbia,2022-02-05,75,5,33,121,9,89
none,99,Repatriated travellers,2022-02-05,83,3,28,138,13,163
atlantic,11,Prince Edward Island,2022-02-06,73,2,38,155,10,191
prairie,47,Saskatchewan,2022-02-06,86,7,62,322,82,814
prairie,48,Alberta,2022-02-06,94,8,64,287,64,736
west,59,British Columbia,2022-02-06,85,8,56,270,60,677
north,60,Yukon,2022-02-06,79,2,32,150,28,216
none,99,Repatriated travellers,2022-02-07,232,18,281,749,187,2103
atlantic,12,Nova Scotia,2022-02-08,211,22,230,682,161,1795
atlantic,13,New Brunswick,2022-02-08,204,19,221,710,163,1864
prairie,48,Alberta,2022-02-08,183,17,233,632,141,1649
west,59,British Columbia,2022-02-08,199,18,231,669,153,1753
